,Month,All items,Food,Food at home,Food away from home,Energy,Electricity,Gasoline (all types),All items less food and energy,Furniture and bedding,Apparel,Used cars and trucks,Medical care,Sporting goods,Public transportation
446,2017-03-01,2.4,0.5,-0.9,2.4,10.9,1.6,19.9,2.0,-1.7,0.6,-4.7,3.5,-1.5,0.6
447,2017-04-01,2.2,0.5,-0.8,2.3,9.3,2.4,14.3,1.9,-1.8,0.5,-4.6,3.0,-3.0,0.4
448,2017-05-01,1.9,0.9,-0.2,2.3,5.4,2.7,5.8,1.7,-1.4,-0.9,-4.3,2.7,-3.2,-1.5
449,2017-06-01,1.6,0.9,-0.1,2.2,2.3,2.5,-0.4,1.7,-0.7,-0.7,-4.3,2.7,-1.9,-2.2
450,2017-07-01,1.7,1.1,0.3,2.1,3.4,2.6,3.0,1.7,-0.8,-0.4,-4.1,2.6,-1.9,-1.2
451,2017-08-01,1.9,1.1,0.3,2.2,6.4,2.3,10.4,1.7,0.7,-0.6,-3.8,1.8,-2.4,-1.7
452,2017-09-01,2.2,1.2,0.4,2.4,10.1,1.7,19.3,1.7,0.4,-0.2,-3.7,1.6,-1.7,-1.1
453,2017-10-01,2.0,1.3,0.6,2.3,6.4,2.0,10.8,1.8,-1.2,-0.6,-2.9,1.7,-1.9,0.2
454,2017-11-01,2.2,1.4,0.6,2.4,9.4,2.5,16.5,1.7,-0.6,-1.6,-2.1,1.7,-1.3,-0.8
455,2017-12-01,2.1,1.6,0.9,2.5,6.9,2.6,10.7,1.8,-0.7,-1.6,-1.0,1.8,-1.0,-1.6
456,2018-01-01,2.1,1.7,1.0,2.5,5.5,2.4,8.5,1.8,-0.9,-0.7,-0.6,2.0,-0.6,-2.1
457,2018-02-01,2.2,1.4,0.5,2.6,7.7,2.2,12.6,1.8,-1.0,0.4,-0.1,1.8,-0.6,-2.0
458,2018-03-01,2.4,1.3,0.4,2.5,7.0,2.2,11.1,2.1,-1.3,0.3,0.4,2.0,0.8,-2.1
459,2018-04-01,2.5,1.4,0.5,2.5,7.9,1.2,13.4,2.1,0.1,0.8,-0.9,2.2,0.7,-3.0
460,2018-05-01,2.8,1.2,0.1,2.7,11.7,1.0,21.8,2.2,-0.1,1.4,-1.7,2.4,-0.4,-2.8
461,2018-06-01,2.9,1.4,0.4,2.8,12.0,-0.1,24.3,2.3,0.0,0.6,-0.7,2.5,0.1,-2.7
462,2018-07-01,2.9,1.4,0.4,2.8,12.1,-0.8,25.4,2.4,0.0,0.3,0.8,1.9,0.7,-1.5
463,2018-08-01,2.7,1.4,0.5,2.6,10.2,-0.5,20.3,2.2,-0.7,-1.4,1.3,1.5,0.7,-0.1
464,2018-09-01,2.3,1.4,0.4,2.6,4.8,-1.2,9.1,2.2,0.6,-0.6,-1.5,1.7,-0.5,-0.2
465,2018-10-01,2.5,1.2,0.1,2.5,8.9,0.7,16.1,2.1,1.3,-0.4,0.4,1.7,-1.8,-0.5
466,2018-11-01,2.2,1.4,0.4,2.6,3.1,0.6,5.0,2.2,0.8,-0.4,2.3,2.0,-1.2,-0.9
467,2018-12-01,1.9,1.6,0.6,2.8,-0.3,1.1,-2.1,2.2,1.7,-0.1,1.4,2.0,2.5,-1.7
468,2019-01-01,1.6,1.6,0.6,2.8,-4.8,0.4,-10.1,2.2,1.3,0.1,1.6,1.9,2.0,-2.0
469,2019-02-01,1.5,2.0,1.2,2.9,-5.0,0.0,-9.1,2.1,2.4,-0.8,1.1,1.7,0.3,-1.8
470,2019-03-01,1.9,2.1,1.4,3.0,-0.4,0.3,-0.7,2.0,3.3,-2.2,0.4,1.7,0.3,-1.9
471,2019-04-01,2.0,1.8,0.7,3.1,1.7,0.6,3.1,2.1,1.6,-3.0,0.8,1.9,0.1,-1.2
472,2019-05-01,1.8,2.0,1.2,2.9,-0.5,-0.2,-0.2,2.0,2.4,-3.1,0.3,2.1,0.7,0.9
473,2019-06-01,1.6,1.9,0.9,3.1,-3.4,-0.3,-5.4,2.1,3.1,-1.3,1.2,2.0,0.7,1.1
474,2019-07-01,1.8,1.8,0.6,3.2,-2.0,0.5,-3.3,2.2,3.9,-0.5,1.5,2.6,-1.1,0.7
475,2019-08-01,1.7,1.7,0.5,3.2,-4.4,-0.1,-7.1,2.4,2.4,1.0,2.1,3.5,0.0,1.5
476,2019-09-01,1.7,1.8,0.6,3.2,-4.8,0.7,-8.2,2.4,2.3,-0.3,2.6,3.5,2.4,1.7
477,2019-10-01,1.8,2.1,1.0,3.3,-4.2,0.4,-7.3,2.3,2.1,-2.3,1.4,4.3,4.3,1.4
478,2019-11-01,2.1,2.0,1.0,3.2,-0.6,0.5,-1.2,2.3,2.2,-1.6,-0.4,4.2,4.6,1.9
479,2019-12-01,2.3,1.8,0.7,3.1,3.4,-0.4,7.9,2.3,1.2,-1.2,-0.7,4.6,0.1,1.0
480,2020-01-01,2.5,1.8,0.7,3.1,6.2,0.5,12.8,2.3,1.0,-1.3,-2.0,4.5,0.8,1.8
481,2020-02-01,2.3,1.8,0.8,3.0,2.8,0.6,5.6,2.4,1.1,-0.9,-1.3,4.6,2.1,1.6
482,2020-03-01,1.5,1.9,1.1,3.0,-5.7,0.2,-10.2,2.1,-0.5,-1.6,0.1,4.7,-0.3,-7.2
483,2020-04-01,0.3,3.5,4.1,2.8,-17.7,0.2,-32.0,1.4,-1.9,-5.7,-0.7,4.8,-1.1,-16.0
484,2020-05-01,0.1,4.0,4.8,2.9,-18.9,-0.2,-33.8,1.2,-1.3,-7.9,-0.4,4.9,-0.5,-19.8
485,2020-06-01,0.6,4.5,5.6,3.1,-12.6,0.1,-23.4,1.2,-1.4,-7.3,-2.8,5.1,0.5,-18.6
486,2020-07-01,1.0,4.1,4.6,3.4,-11.2,-0.1,-20.3,1.6,-2.3,-6.5,-0.9,5.0,3.1,-16.1
487,2020-08-01,1.3,4.1,4.6,3.5,-9.0,-0.1,-16.8,1.7,1.0,-5.9,4.0,4.5,3.4,-17.5
488,2020-09-01,1.4,3.9,4.1,3.8,-7.7,0.7,-15.4,1.7,0.9,-6.0,10.3,4.2,1.4,-16.5
489,2020-10-01,1.2,3.9,4.0,3.9,-9.2,1.3,-18.0,1.6,0.4,-5.5,11.5,2.9,1.4,-14.1
490,2020-11-01,1.2,3.7,3.6,3.8,-9.4,1.6,-19.3,1.6,1.5,-5.2,10.9,2.4,1.3,-12.0
491,2020-12-01,1.4,3.9,3.9,3.9,-7.0,2.2,-15.2,1.6,2.2,-3.9,10.0,1.8,2.5,-12.0
492,2021-01-01,1.4,3.8,3.7,3.9,-3.6,1.5,-8.6,1.4,1.5,-2.5,10.0,1.9,2.8,-13.9
493,2021-02-01,1.7,3.6,3.5,3.7,2.4,2.3,1.5,1.3,0.6,-3.6,9.3,2.0,4.6,-16.2
494,2021-03-01,2.6,3.5,3.3,3.7,13.2,2.5,22.5,1.6,3.5,-2.5,9.4,1.8,4.8,-8.2
495,2021-04-01,4.2,2.4,1.2,3.8,25.1,3.6,49.6,3.0,7.8,1.9,21.0,1.5,7.0,7.0
496,2021-05-01,5.0,2.2,0.7,4.0,28.5,4.2,56.2,3.8,8.6,5.6,29.7,0.9,9.0,15.9
