,title,genre
57611,Uomini di parola,"Comedy, Crime, Thriller"
57615,La mia vita Ã¨ uno zoo,"Comedy, Drama, Family"
57616,Quando l'amore si spezza,"Crime, Drama, Horror"
57623,Heart of the Sea - Le origini di Moby Dick,"Action, Adventure, Biography"
57648,Hunger Games,"Action, Adventure, Sci-Fi"
57649,Mad Max: Fury Road,"Action, Adventure, Sci-Fi"
57651,Prisoners,"Crime, Drama, Mystery"
57676,I pinguini di Mr. Popper,"Comedy, Family, Fantasy"
57678,Venuto al mondo,"Drama, Romance, War"
57680,It,Horror
57686,Taken - La vendetta,"Action, Thriller"
57691,Viaggio nell'isola misteriosa,"Action, Adventure, Comedy"
57696,Straight Outta Compton,"Biography, Drama, History"
57702,Transformers 3,"Action, Adventure, Sci-Fi"
57718,Unknown - Senza identitÃ ,"Action, Mystery, Thriller"
57724,A Boy Called Po,"Drama, Fantasy"
57738,Happy Feet 2,"Animation, Adventure, Comedy"
57745,Paradies: Liebe,Drama
57747,Wolves,"Action, Fantasy, Horror"
57790,Into Darkness - Star Trek,"Action, Adventure, Sci-Fi"
57792,Poliziotto in prova,"Action, Comedy, Crime"
57795,Men in Black 3,"Action, Adventure, Comedy"
57806,I fiori della guerra,"Drama, History, Romance"
57819,"Amici, amanti e...","Comedy, Romance"
57820,Riddick,"Action, Adventure, Sci-Fi"
57823,Bucky Larson: Born to Be a Star,Comedy
57824,Una notte da leoni 2,Comedy
57825,Hop,"Animation, Adventure, Comedy"
57836,Marigold Hotel,"Comedy, Drama, Romance"
57840,Tavolo 19,"Comedy, Drama, Romance"
57843,12 Soldiers,"Action, Drama, History"
57844,Il potere dei soldi,"Drama, Thriller"
57879,Bulletproof Man,"Biography, Crime, Drama"
57892,"I, Frankenstein","Action, Fantasy, Sci-Fi"
57932,Torn,Drama
57971,Lovelace,"Biography, Drama"
57993,Hansel & Gretel - Cacciatori di streghe,"Action, Fantasy, Horror"
58012,Wolverine - L'immortale,"Action, Adventure, Sci-Fi"
58015,Il figlio di Babbo Natale,"Animation, Adventure, Comedy"
58016,Brick Mansions,"Action, Crime, Thriller"
58017,Qualcosa di straordinario,"Biography, Drama, Family"
58021,Pirati! Briganti da strapazzo,"Animation, Adventure, Comedy"
58026,Deadpool,"Action, Adventure, Comedy"
58064,Disconnect,"Drama, Thriller"
58066,The Apparition,"Horror, Thriller"
58096,Amore e matrimonio,Comedy
58098,Rio,"Animation, Adventure, Comedy"
58106,Faust,"Drama, Fantasy, Mystery"
58115,Fright Night - Il vampiro della porta accanto,"Comedy, Horror"
58138,Battleship,"Action, Adventure, Sci-Fi"
58147,This Must Be the Place,"Comedy, Drama"
58161,Under the Skin,"Drama, Horror, Sci-Fi"
58165,Quartet,"Comedy, Drama"
58198,Le lettere di Madre Teresa,Drama
58207,Le 5 leggende,"Animation, Action, Adventure"
58215,Prometheus,"Adventure, Mystery, Sci-Fi"
58231,Killer Elite,"Action, Thriller"
58233,Winnie the Pooh - Nuove avventure nel Bosco dei Cento Acri,"Animation, Adventure, Comedy"
58238,Filth,"Comedy, Crime, Drama"
58270,Monsters University,"Animation, Adventure, Comedy"
58275,The Help,Drama
58278,Gravity,"Drama, Sci-Fi, Thriller"
58305,Habemus Papam,"Comedy, Drama"
58311,"Rio, Eu Te Amo","Comedy, Drama, Fantasy"
58321,L'evocazione - The Conjuring,"Horror, Mystery, Thriller"
58322,Kidnap,"Action, Crime, Drama"
58352,Dream House,"Drama, Mystery, Thriller"
58365,L'incredibile vita di Timothy Green,"Comedy, Drama, Family"
58366,The Grandmaster,"Action, Biography, Drama"
58374,Big Mama: Tale padre tale figlio,"Action, Comedy, Crime"
58375,Annie Parker,Drama
58380,Sono il numero quattro,"Action, Adventure, Sci-Fi"
58444,Baywatch,"Action, Comedy, Crime"
58474,Max Steel,"Action, Adventure, Fantasy"
58486,Bridget Jones's Baby,"Comedy, Drama, Romance"
58512,Aquaman,"Action, Adventure, Fantasy"
58514,Benvenuti a Cedar Rapids,Comedy
58519,Le amiche della sposa,"Comedy, Romance"
58523,Attraverso i miei occhi,"Comedy, Drama, Romance"
58524,Attack the Block - Invasione aliena,"Action, Adventure, Comedy"
58542,Cosmopolis,"Crime, Drama, Fantasy"
58543,Eddie,"Comedy, Horror"
58555,Lorax - Il guardiano della foresta,"Animation, Adventure, Comedy"
58560,Oblivion,"Action, Adventure, Sci-Fi"
58562,Innamorarsi a Middleton,"Comedy, Romance"
58581,30 Beats,"Comedy, Romance"
58590,"No God, No Master","Crime, Drama, History"
58593,The Greatest Showman,"Biography, Drama, Musical"
58595,Cappuccetto rosso sangue,"Fantasy, Horror, Mystery"
58598,The Raven,"Crime, Mystery, Thriller"
58599,5 Days of War,"Action, Drama, War"
58604,What If,"Comedy, Romance"
58611,Khumba - Cercasi strisce disperatamente,"Animation, Adventure, Family"
58618,Cambio vita,"Comedy, Fantasy"
58634,La rivincita delle sfigate,Comedy
58635,Una spia e mezzo,"Action, Comedy, Crime"
58637,The Lego Movie,"Animation, Action, Adventure"
58643,I Saw the Light,"Biography, Drama, Music"
58644,The Iceman,"Biography, Crime, Drama"
58677,Underworld - Il risveglio,"Action, Fantasy, Horror"
58681,The Paperboy,"Crime, Drama, Mystery"
58698,L'amore che resta,"Drama, Romance"
58712,Come ammazzare il capo... e vivere felici,"Comedy, Crime"
58734,Bad Boys for Life,"Action, Comedy, Crime"
58736,Drive Angry,"Action, Fantasy, Thriller"
58738,Halloween,"Crime, Horror, Thriller"
58743,Fantastic 4 - I fantastici quattro,"Action, Adventure, Sci-Fi"
58787,Knockout - Resa dei conti,"Action, Drama, Thriller"
58810,Miracolo a Le Havre,"Comedy, Drama"
58827,I tre moschettieri,"Action, Adventure, Fantasy"
58890,Sherlock Holmes - Gioco di ombre,"Action, Adventure, Mystery"
58929,The Host,"Action, Adventure, Drama"
58932,A Star Is Born,"Drama, Music, Romance"
58935,Spy Kids 4 - Ã tempo di eroi,"Action, Adventure, Comedy"
58947,Area 51,"Horror, Mystery, Sci-Fi"
58962,The Oogieloves in the Big Balloon Adventure,"Adventure, Family, Fantasy"
58969,Anonymous,"Drama, Thriller"
59020,Contraband,"Action, Crime, Drama"
59024,The Vatican Tapes,"Horror, Thriller"
59025,Come ti rovino le vacanze,"Adventure, Comedy"
59057,Melancholia,"Drama, Sci-Fi"
59069,Exodus - Dei e re,"Action, Drama, Fantasy"
59079,Daddy's Home,"Comedy, Family"
59113,Byzantium,"Drama, Fantasy, Horror"
59124,Line of Duty,"Action, Crime, Thriller"
59128,Battle of the Year - La vittoria Ã¨ in ballo,"Drama, Music"
59139,Shaolin,"Action, Drama"
59159,Elysium,"Action, Drama, Sci-Fi"
59160,Captain Phillips - Attacco in mare aperto,"Adventure, Biography, Crime"
59166,Il matrimonio che vorrei,"Comedy, Drama, Romance"
59182,The Son of No One,"Action, Crime, Drama"
59186,Punto d'impatto,"Drama, Romance, Thriller"
59189,W.E. - Edward e Wallis,"Drama, History, Romance"
59216,Shadowhunters - CittÃ  di ossa,"Action, Adventure, Fantasy"
59226,Blair Witch,"Horror, Mystery, Thriller"
59229,Quello che so sull'amore,"Comedy, Romance, Sport"
59230,Un poliziotto da happy hour,"Comedy, Crime, Thriller"
59242,Le regole della truffa,"Comedy, Crime, Mystery"
59245,Il ventaglio segreto,"Drama, History"
